Word,Abbreviation,Alt Abbreviation,Prime,Modifier -1,Modifier -2,Class,Definition,Create Date
Armature,ARMTR,,,,,,,
Armed,ARMD,,,,,,,
Armored,ARMRD,,,,,,,
Armory,ARMRY,,,,,,,
Array,ARRAY,,,,,,,
Arrears,ARERS,,,,,,,
Arrival,ARVL,ARR,,X,,,,
Arrow,ARW,,,,,,,
Arsenal,ARSNL,,,,,,,
Art,ART,,,,,,,
Artery,ARTRY,,,,,,,
Artificial,ARTFL,,,,,,,
Artisan,ARTSN,,,,,,,
Artist,ART,,,,,,,
Artistic,ARTTC,,,,,,,
Artistry,ARTTY,,,,,,,
Asbestos,ASB,,,,,,,
Aside,ASIDE,,,,,,,
Asphalt,ASPLT,,,,,,,
Assemble,ASBL,,,,,,,
Assembled,ASSEM,ASSEM,,X,X,,,
Assembler,ASBLR,,,,,,,
Assemblies,ASBLS,,,,,,,
Assembly,ASBLY,,,,,,,
Asset,ASSET,,,,,,,
Assign,ASSGN,,,,,,,
Assigned,ASSGN,,,,,,,
Assignee,ASSGN,,,,,,,
Assignment,ASSGNMNT,,,X,,,,
Assist,ASST,,,,,,,
Assistance,ASST,,,,,,,
Assistant,ASST,,,,,,,
Assistant Store Manager,ASM,ASM,,X,X,,,
Associate,ASSOC,,,X,,,A verb or entity.,
Associated,ASSOC,,,X,,,Association between entities,
Association,ASSOC,ASSOC,,X,,,A relationship between two entites or an entity by itself.,
Assortment,ASORT,,,,,,,
Assume,ASSUM,,,,,,,
Assumption,ASMPN,,,,,,,
Assurance,ASURC,,,,,,,
Assure,ASUR,,,,,,,
Asterisk,ASTK,,,,,,,
Athletic,ATHL,,,,,,,
Atlantic,ATL,,,,,,,
Atlas,ATLS,,,,,,,
Atmoshere,ATMOS,,,,,,,
Atmospheric,ATMOS,,,,,,,
Atomic,ATMC,,,,,,,
Attach,ATCH,,,,,,,
Attached,ATCH,,,,,,,
Attachment,ATCH,,,,,,,
Attachments,ATCH,,,,,,,
Attempt,ATMPT,ATMPT,,X,X,,The act of trying something,
Attempted,ATMPT,ATMPT,,X,X,,Verb,
Attendance,ATNDC,,,,,,,
Attendant,ATNDT,,,,,,,
Attended,ATND,,,,,,,
Attention,ATTN,,,,,,,
Attic,ATTC,,,,,,,
Attitude,ATTTD,,,,,,,
Attorney,ATTY,,,,,,,
Attribute,ATTR,ATTR,,X,X,,,
Attributes,ATTRS,ATTRS,,,X,,,
Attribution,ATTR,ATTR,,X,X,,Process of assigning,
Auction,AUCT,AUCT,,X,X,,The act of selling something on the basis of bids.,
Auctioned,AUCT,AUCT,,X,X,,Verb,
Auctioneer,AUCTR,,,,,,,
Auctioneering,AUCTR,,,,,,,
Auctions,AUCT,AUCT,,X,X,,Plural of auctions,
Audio,AUDIO,,,,,,,
Audiologist,ADLGT,,,,,,,
Audiology,ADLGY,,,,,,,
Audit,AUDT,,,X,X,,,
Audited,AUDT,,,X,X,,"Used in ""Audited Date""",
Auditing,AUDTG,,,,,,,
Auditor,AUDTR,,,,,,,
Auditorium,ADTRM,,,,,,,
August,AUG,,,,,,,
Author,AUTHOR,,,,,,,
Authority,AUTH,,,,,,,
Authorization,AUTH,AUTH,,X,,,,
Authorizations,AUTHS,,,,,,,
Authorize,AUTH,AUTH,,X,X,,The verb.,
Authorized,AUTH,AUTH,,X,X,,Derivative of the verb,
Auto,AUTO,,,,,,,
Automated,AUTOM,,,,,,,
Automatic,AUTOM,,,,,,,
Automation,AUTOM,,,,,,,
Automobile,AUTO,,,,,,,
Automotive,AUTO,,,,,,,
Auxiliary,AUX,AUX,,X,,,,
Availability,AVLBL,,,X,X,,The status of an entity or used in conjunction with a measure.,
Available,AVLBL,,,X,X,,The status of an entity or used in conjunction with a measure.,
Available To Sell,ATS,ATS,,X,X,,An inventory term meaning the quantity available for sale.,
Avenue,AVE,,,,,,,
Average,AVG,,,,,,,
Average Unit Revenue,AUR,AUR,,X,X,,Used in Online Grocery for measuring the Average Revenue for each item unit.,
Average Handling Time,AHT,AHT,,X,X,,Used in Customer Servie for measuring the Average Handling Time for answering a phone call or chat.,
Aviation,AVN,,,,,,,
Avionic,AVNC,,,,,,,
Awaiting,AWAIT,,,,,,,
Award,AWRD,,,,,,,
Awning,AWN,,,,,,,
Bachelor,BCHLR,,,,,,,
Back,BK,,,,,,,
Backhaul,BKHL,BKHL,,X,X,,A return trip to the point of origin.,
Backout,BKOUT,,,,,,,
Backspace,BKSPC,,,,,,,
Backup,BKUP,,,,,,,
Badge,BADG,,,,,,,
Bag,BAG,,,,,,,
Bailing,BLG,,,,,,,
Baked,BAKD,,,,,,,
Baker,BAKR,,,,,,,
Bakery,BAKRY,,,,,,,
Baking,BAKG,,,,,,,
Balance,BAL,BAL,,X,X,,,
Balances,BALS,,,,,,,
Balancing,BALG,,,,,,,
Balloon,BLN,,,,,,,
Ballroom,BLLRM,,,,,,,
Bank,BNK,,,,,,,
Bank Identification Number,BIN,BIN,,X,X,,First 6 digits of the debit or credit card number identifying the issuing bank.,
Banker,BNKR,,,,,,,
Banking,BNKG,,,,,,,
Baptist,BAPT,,,,,,,
Barbeque,BBQ,,,,,,,
Barber,BARB,,,,,,,
Barcode,BARCODE,BARCODE,,X,X,,Barcode for a gift registry for example.  A unique identifier in short loosely used for UPC also.,
Bargain,BRGN,,,,,,,
Barge,BARG,,,,,,,
Barrel,BBL,,,,,,,
Barrels,BBLS,,,,,,,
Base,BASE,,,,,,,
Baseball,BSBLL,,,,,,,
Based,BASE,,,,,,,
Baseline,BL,,,X,X,,,
Basement,BSMNT,,,,,,,
Basic,BASIC,,,,,,,
Basin,BASIN,,,,,,,
Basis,BASIS,,,,,,,
Basket,BASKET,BSK,,X,X,,A group of objects such as a market basket.,
Basktball,BSKBL,,,,,,,
Batch,BATCH,,,,,,,
Bath,BTH,,,,,,,
Batteries,BATT,BATT,,X,X,,,
Battery,BATT,BATT,,X,X,,Battery,
Beach,BCH,,,,,,,
Bearing,BEARG,,,,,,,
Beautician,BTCN,,,,,,,
Beauty,BTY,,,,,,,
Beaver,BVR,,,,,,,
Bedding,BEDG,,,,,,,
Been,BEEN,,,,,,,
Before,BEF,BEF,,X,X,,Before,
Begin,BEG,BEG,,X,X,,"Start, commence.",
Beginning,BEG,,,,,,,
Behavior,BHVR,,,,,,,
Behavioral,BHVRL,,,,,,,
Below,BELW,,,,,,,
Below The Fold,BTF,BTF,,X,X,,The section of a web page visible only after you scroll.,
Benefice,BNFC,,,,,,,
Beneficial,BNFCL,,,,,,,
Beneficiary,BNFCY,,,,,,,
Benefit,BNFT,,,,,,,
Benefits,BNFTS,,,,,,,
Berry,BERY,,,,,,,
Better,BETR,,,,,,,
Between,BTWN,BTWN,,X,X,,Occurring between two finite objects.,
Beverage,BEV,,,,,,,
Beyond,BYND,,,,,,,
Bible,BIBLE,,,,,,,
Bicycle,BIKE,,,,,,,
Bid,BID,,,,,,,
Bidder,BIDR,,,,,,,
Bidders,BIDRS,,,,,,,
Bijou,BIJ,,,,,,,
Bike,BIKE,,,,,,,
Bill,BILL,,,,,,,
Bill Me Later,BML,,,x,x,,Order can be created without payment upfront.  Walmart will bill customer later.,
Bill Of Lading,BOL,BOL,,X,X,,A detailed list of a shipment of goods given by the Carrier to the Consigner.,
Billable,BILL,BILL,,X,X,,Derivative of the verb BILL,
Billed,BILL,,,,,,,
Billiard,BILRD,,,,,,,
Billing,BILL,BILL,,X,X,,,
Billings,BILL,,,,,,,
Binary,BIN,,,,,,,
Binder,BINDR,,,,,,,
Bindery,BINDY,,,,,,,
Binding,BINDG,,,,,,,
Biochemistry,BIOCH,,,,,,,
Biological,BIOL,,,,,,,
Biologist,BIOLG,,,,,,,
Biology,BIO,,,,,,,
Biomedical,BIOMD,,,,,,,
Biotechnology,BIOTC,,,,,,,
Birth,BIRTH,,,,,,,
Biscuit,BSCT,,,,,,,
Bishop,BP,,,,,,,
Bitmap,BMP,BMP,,,,X,Technical representation of on/off bits for specialized purpose.,
Black,BLCK,,,,,,,
Blacksmith,BSMTH,,,,,,,
Blank,BLNK,,,,,,,
Blanket,BLNKT,,,,,,,
Blend,BLEN,,,,,,,
Blending,BLENG,,,,,,,
Blessed,BLSSD,,,,,,,
Blind,BLND,,,,,,,
Block,BLK,,,,,,,
Blocked,BLKD,,,,,,,
Blocksize,BLKSZ,,,,,,,
Blood,BLOD,,,,,,,
Blueprint,BLPRT,,,,,,,
Board,BD,,,,,,,
Boarding,BDG,,,,,,,
Body,BDY,,,,,,,
Bogus,BOGUS,,,,,,,
Bolt,BOLT,,,,,,,
Bomber,BMBR,,,,,,,
Bond,BOND,,,,,,,
Bonded,BOND,,,,,,,
Bonus,BONUS,,,,,,,
Book,BOOK,,,,,,,
Bookbinder,BKBDR,,,,,,,
Bookbinding,BKBDG,,,,,,,
Booked,BOOKD,,,,,,,
Bookkeeper,BKKPR,,,,,,,
Bookkeeping,BKKPG,,,,,,,
Bookseller,BKSLR,,,,,,,
Bookshelf,BKSLF,,,,,,,
Bookstore,BKSTR,,,,,,,
Boost,BOST,,,,,,,
Booster,BOSTR,,,,,,,
Boot,BOOT,,,,,,,
Border,BRDR,,,,,,,
Borough,BORO,,,,,,,
Borrow,BRW,,,,,,,
Borrower,BRW,,,,,,,
Both,BOTH,,,,,,,
Bottle,BTL,,,,,,,
Bottled,BTLD,,,,,,,
Bottler,BTLR,,,,,,,
Bottling,BTLG,,,,,,,
Bottom,BTM,,,,,,,
Bottoms,BTM,,,,,,,
Boulevard,BLVD,,,,,,,
Bounce,BNC,BNC,,X,X,,To follow a return path as in email bounces.,
Bound,BND,,,,,,,
Boundary,BNDRY,,,,,,,
Boutique,BTQ,,,,,,,
Bowl,BWL,,,,,,,
Bowling,BWLG,,,,,,,
Box,BOX,,,,,,,
Bracket,BRKT,,,,,,,
Brad,BRAD,,,,,,,
Brain,BRAIN,,,,,,,
Brake,BRAK,,,,,,,
Branch,BR,,,,,,,
Brand,BRAND,BRAND,,X,,,,
Branded,BRAND,,,,,,,
Breadth,BDTH,BDTH,,X,X,,,
Break,BREAK,,,,,,,
Breakdown,BRKDN,,,,,,,
Breakpack,BRKPK,,,,,,,
Breeder,BREDR,,,,,,,
Brewery,BREWY,,,,,,,
Brewing,BREWG,,,,,,,
Brick,BRCK,,,,,,,
Bridal,BRDL,,,,,,,
Bridge,BRDG,,,,,,,
Brief,BRF,,,,,,,
Briquette,BRQTT,,,,,,,
British,BRTSH,,,,,,,
Broadcast,BCST,,,,,,,
Broadcaster,BCSTR,,,,,,,
Broadcasting,BCSTG,,,,,,,
Broadway,BRDWY,,,,,,,
Broker,BROKR,,,,,,,
Brokerage,BROKG,,,,,,,
Brother,BRO,,,,,,,
Brotherhood,BROHD,,,,,,,
Brown,BRWN,,,,,,,
Browse,BRWS,BRWS,,X,X,,To go over for reviewing or reading,
Browser,BRWSR,BRWSR,,X,X,,Computer software,
BRZ,BRZ,,,,,,,
Buccaneer,BCCNR,,,,,,,
Bucket,BCKT,,,,,,,
Budget,BDGT,,,,,,,
Budgeted,BDGTD,,,,,,,
Buffer,BUF,BUF,,X,X,,Buffer,
Build,BLD,BLD,,X,X,,,
Builder,BLDR,,,,,,,
Building,BLDG,,,,,,,
Built,BLT,BLT,,X,X,,,
Bulk,BULK,,,,,,,
Bulldozing,BDZG,,,,,,,
Bullet,BLLT,,,,,,,
Bulletin,BLLTN,,,,,,,
Bumper,BUMPR,,,,,,,
Burden,BURDN,,,,,,,
Bureau,BUR,,,,,,,
Burger,BGR,,,,,,,
Burning,BURNG,,,,,,,
Burst,BRST,,,,,,,
Bus,BUS,,,,,,,
Bushel,BUSHEL,,,,,,,
Business,BUS,BUS,,X,X,,Business - an entity or a qualifier such as business-phone.,
Business_Day,BDAY,,,,,,,3/19/2018
Business Unit,BU,,,,,,,
Business Unit Organization,BUO,,,,,,,
Butcher,BTCHR,,,,,,,
Butler,BUTLR,,,,,,,
Butter,BUTR,,,,,,,
Button,BUTN,,,,,,,
Buy,BUY,,,,,,,
Buyer,BUYER,BUYR,,,,,,
Buying,BUYG,,,,,,,
By,BY,,,,,,,
Bypass,BYPS,,,,,,,
Byte,BYTE,,,,,,,
Bytes,BYTES,,,,,,,
Cabaret,CBRT,,,,,,,
Cabin,CBN,,,,,,,
Cabinet,CBNT,,,,,,,
Cable,CABL,,,,,,,
Cadet,CDT,,,,,,,
Cafeteria,CAFE,CAFE,,X,X,,,
Calculate,CALC,,,,,,,
Calculated,CALC,,,,,,,
Calculation,CALC,,,,,,,
Calendar,CAL,CAL,X,,,,,
Calendar_Day,CDAY,CDAY,,X,X,,,3/19/2018
Calibration,CALIB,,,,,,,
California,CA,,,,,,,
Caliper,CLPR,,,,,,,
Call,CALL,,,,,,,
Calls,CALL,,,,,,,
Calvary,CLVRY,,,,,,,
Camera,CAM,,,,,,,
Campaign,CMPGN,CMPGN,,X,X,,A marketing campaign for example.,
Camper,CAMPR,,,,,,,
Campground,CAMP,,,,,,,
Camping,CAMP,,,,,,,
Campsite,CMPST,,,,,,,
Campus,CMPUS,,,,,,,
Canada,CANADA,,,,,,,
Canadian,CANDN,,,,,,,
Canal,CNL,,,,,,,
Cancel,CNCL,CNCL,,X,X,,To abort,
Cancellation,CNCL,,,,,,,
Cancelled,CNCL,CNCL,,X,,,Derivative of the verb.,
Candidate,CAND,,,,,,,
Candlelight,CNDLT,,,,,,,
Candy,CNDY,,,,,,,
Canned,CANNED,,,,,,,
Cannery,CANRY,,,,,,,
Canning,CAN,,,,,,,
Canopies,CANOP,,,,,,,
Cantor,CANTR,,,,,,,
Canvas,CANV,,,,,,,
Canyon,CNYN,,,,,,,
Cap,CAP,,,,,,,
Capacity,CPCTY,,,,,,,
Capital,CPTAL,,,,,,,
Capitol,CPTOL,,,,,,,
Captain,CAPT,,,,,,,
Car,CAR,,,,,,,
Carbon,CARBN,,,,,,,
Carbonated,CARBT,,,,,,,
Carburetor,CARB,,,,,,,
Card,CARD,,,,,,,
Cardiac,CRDC,,,,,,,
Cardinal,CARDL,,,,,,,
Cardiographic,CRDOG,,,,,,,
Cardiology,CRDOL,,,,,,,
Cardiovascular,CRDOV,,,,,,,
Cards,CARD,,,,,,,
Career,CREER,,,,,,,
Cargo,CRGO,,,,,,,
Carload,CARLD,,,,,,,
Carloading,CARLD,,,,,,,
Carpenter,CRPTR,,,,,,,
Carpentry,CRPTY,,,,,,,
Carpet,CRPET,,,,,,,
Carriage,CARRG,,,,,,,
Carribbean,CRBBN,,,,,,,
Carrier,CARRIER,CARRIER,X,X,X,,Carrier as a subject area OR as the entity in Transportation and Logistics,
Carry,CARRY,,,,,,,
Carrying,CARRY,,,,,,,
Cascade,CSCAD,,,,,,,
Casepack,CSPK,,,,,,,
Cases,CS,,,,,,,
Cash,CASH,,,X,X,,,
Cash Back,CASHBK,,,,,,,
Cash On Delivery,COD,COD,,X,X,,Shipping terminology.,
Cashier,CASHIER,,,X,X,,,
Casket,CSKT,,,,,,,
Cassette,CASET,,,,,,,
Cast,CAST,,,,,,,
Casting,CASTG,,,,,,,
Castle,CASTL,,,,,,,
Casual,CASUL,,,,,,,
Casualty,CASUL,,,,,,,
Cat,CAT,,,,,,,
Catalog,CATLG,CATLG,X,X,X,,,
Catalogue,CATLG,,,,,,,
Catalytic,CATLY,,,,,,,
Catchment,CATCH,CATCH,,X,X,,This is used in Online Grocery Catchment Area.,
Category,CATG,CATEG,,X,X, ,This is a value used to classify objects e.g. Product.  Use NM as classword instead. E.g. CATEG_NM,
Caterer,CATER,,,,,,,
Catering,CATER,,,,,,,
Catfish,CTFSH,,,,,,,
Cathedral,CTHDL,,,,,,,
Catholic,CATH,,,,,,,
Cattle,CTTL,,,,,,,
Cause,CAUS,,,,,,,
Causeway,CSWY,,,,,,,
Cavern,CAVRN,,,,,,,
Cedar,CEDR,,,,,,,
Ceiling,CLG,,,,,,,
Celebrity,CLBTY,,,,,,,
Cell,CEL,,,,,,,
Cellular,CELUR,,,,,,,
Celsius,C,,,,,,,
Cement,CEM,,,,,,,
Cemetery,CMTRY,,,,,,,
Census,CNSUS,CNSUS,,X,X,,Census of a population usually.,
Cent,CT,,,,,,,
Centennial,CENTL,,,,,,,
Center,CNTR,CNTR,,X,X,,,
Centers,CTRS,,,,,,,
Centigrade,C,,,,,,,
Centigram,CG,,,,,,,
Centiliter,CL,,,,,,,
Centimeter,CM,,,,,,,
Central,CNTRL,,,,,,,
Centralized,CTRLZ,,,,,,,
Centre,CNTR,CNTR,,X,X,,,
Century,CEN,,,,,,,
Ceramic,CRMC,,,,,,,
Ceremony,CRMNY,,,,,,,
Certificate,CERTF,,,,,,,
Certification,CERTF,,,,,,,
Certified,CERTF,,,,,,,
Certifying,CERTF,,,,,,,
Chain,CHN,,,,,,,
Chair,CHR,,,,,,,
Chaired,CHRD,,,,,,,
Chairman,CHRMN,,,,,,,
Chairperson,CHRPN,,,,,,,
Chairwomen,CHRWN,,,,,,,
Chamber,CHMBR,,,,,,,
Champion,CHAMP,,,,,,,
Chancellor,CHCLR,,,,,,,
Chandler,CHDLR,,,,,,,
Change,CHNG,CHNG,,X,X,,,
Changed,CHNG,CHNG,,X,X,,,
Changes,CHNG,CHNG,,X,X,,,
Channel,CHNL,CHNL,,X,X,,"Channel for sales, marketing, supply etc.",
Chapel,CHPL,,,,,,,
Chaplain,CHAP,,,,,,,
Chapter,CHPTR,,,,,,,
Character,CHAR,,,,,,,
Characteristic,CHAR,,,,,,,
Characters,CHAR,,,,,,,
Charcoal,CHRCL,,,,,,,
Charge,CHRG,CHRG,,X,X,,A cost in return for a service.,
Chargeable,CHRG,,,,,,,
Chargeback,CHRGBK,CHRGBK,X,X,X,,The domain or a financial transaction.,
Charged,CHRG,,,,,,,
Charges,CHRG,CHRG,,X,,,,
Charging,CHRG,,,,,,,
Charitable,CHRIT,,,,,,,
charity,CHRTY,,,,,,,
Chart,CHART,,,,,,,
Charter,CHRTR,,,,,,,
Chartered,CHRTR,,,,,,,
Charts,CHRTS,,,,,,,
Chauffeur,CHFFR,,,,,,,
Check,CHK,CHK,,X,X,,Inspect,
Checked,CKD,,,,,,,
Checklist,CKLST,,,,,,,
Checkout,CHKOUT,CHKOUT,X,X,X,,Checkout subject area OR Checkout as an action,
Checkpoint,CKPT,,,,,,,
Checks,CKS,,,,,,,
Checkup,CKUP,,,,,,,
