bucketNameType,databaseName,tableName,opCmpnyCd,refreshMode,wmt.storage_uploader,wmt.storage_viewer,isDevBigLake,updateSoftDelete,resourceBucketType
hash,sa_supply_chain_dl_secure,mm_assgnmnt_bin_prod,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_whse_task_conf,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_hu_task_item,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_whse_task,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_quan_attr,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_door_stag_yd,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_assgnmnt_hus_unit,SA-MM,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_trnsp_unit_door,SA-MM,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_status_unit_actv,SA-MM,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_hdr_info,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_wave_item,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
