bucketNameType,databaseName,tableName,opCmpnyCd,refreshMode,wmt.storage_uploader,wmt.storage_viewer,isDevBigLake,updateSoftDelete,resourceBucketType,bucket_name,bucket_given_name,olm_policy_applied,autoclass_enabled,labels,location,env,zone,soft_delete_period,bucket_created,error
hash,sa_supply_chain_dl_secure,assgnmnt_bin_prod,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,00a7514b7db633f4bf143b7b5e804fc65befcacba90aa179a05296f970f185,prod--sa_supply_chain_dl_secure--assgnmnt_bin_prod--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'assgnmnt_bin_prod', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '00a7514b7db633f4bf143b7b5e804fc65befcacba90aa179a05296f970f185', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,whse_task_conf,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,11f13bc273706119662511b88755312259611da56b5efb7bcdc1fef91483dd,prod--sa_supply_chain_dl_secure--whse_task_conf--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'whse_task_conf', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '11f13bc273706119662511b88755312259611da56b5efb7bcdc1fef91483dd', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,hu_task_item,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,dce5e93586d24aa5cdd6fb5cfcfeded57fd8aa7e216b9cfa62a4a032b94bb5,prod--sa_supply_chain_dl_secure--hu_task_item--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'hu_task_item', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'dce5e93586d24aa5cdd6fb5cfcfeded57fd8aa7e216b9cfa62a4a032b94bb5', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,whse_task,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,e7a0ec32d182ecb6c6e1e8a7ee5f4e5b543f7ee8e79a0bc626fd2ca6d6e084,prod--sa_supply_chain_dl_secure--whse_task--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'whse_task', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'e7a0ec32d182ecb6c6e1e8a7ee5f4e5b543f7ee8e79a0bc626fd2ca6d6e084', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,quan_attr,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,b2a66cc051131b7ffdc1e9fa3b522e069bb7043bf91c077e19907ad8236c60,prod--sa_supply_chain_dl_secure--quan_attr--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'quan_attr', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'b2a66cc051131b7ffdc1e9fa3b522e069bb7043bf91c077e19907ad8236c60', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,door_stag_yd,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,dc62dcd9a0e338495f2ec147e7a1f9be7b8609a3d786a0403e989da9aac511,prod--sa_supply_chain_dl_secure--door_stag_yd--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'door_stag_yd', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'dc62dcd9a0e338495f2ec147e7a1f9be7b8609a3d786a0403e989da9aac511', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,assgnmnt_hus_unit,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,70c0d55d7e4f3edcd53935776bea1807b8f1096a66300b12071672620fea31,prod--sa_supply_chain_dl_secure--assgnmnt_hus_unit--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'assgnmnt_hus_unit', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '70c0d55d7e4f3edcd53935776bea1807b8f1096a66300b12071672620fea31', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,trnsp_unit_door,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,dbd86a086deca268d58425c1a8292dd96646d899d6b03de913bf5769a0cdb2,prod--sa_supply_chain_dl_secure--trnsp_unit_door--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'trnsp_unit_door', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'dbd86a086deca268d58425c1a8292dd96646d899d6b03de913bf5769a0cdb2', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,status_unit_actv,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,d1b085b15816a169fb8ca87c39cb63282f3387ecf7e9d8021c254149aac7a4,prod--sa_supply_chain_dl_secure--status_unit_actv--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'status_unit_actv', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'd1b085b15816a169fb8ca87c39cb63282f3387ecf7e9d8021c254149aac7a4', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,hdr_info,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,cb672ec36424fc242dda2bc4efd492fbff77c91c3c14633ac274f6b5f005c7,prod--sa_supply_chain_dl_secure--hdr_info--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'hdr_info', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'cb672ec36424fc242dda2bc4efd492fbff77c91c3c14633ac274f6b5f005c7', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,wave_item,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,7e8921e2d671869fcf215ecc00eb36ea6693b075aebdeb274bf91b0bfdfff6,prod--sa_supply_chain_dl_secure--wave_item--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'wave_item', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '7e8921e2d671869fcf215ecc00eb36ea6693b075aebdeb274bf91b0bfdfff6', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
